date,price_today_dkk_per_mwh,forecast_price_dkk_per_mwh,system_daily_energy_baseline_mwh,household_daily_energy_baseline_mwh,household_daily_energy_shifted_mwh,system_daily_energy_shifted_mwh,flexible_daily_energy_mwh,shifted_out_mwh,shifted_in_mwh,best_spread_dkk_per_kwh,chosen_target_day_index
2025-01-01,662.1886831901772,678.9481225766709,97980.55627406103,34293.19469592136,34023.978047891396,97711.33962603107,7887.434780061913,269.21664802996247,0.0,0.16192844508957704,5
2025-01-02,683.4218557968882,626.2227299536609,104808.90608586965,36683.11713005437,36373.664218298465,104499.45317411375,8437.116939912506,309.4529117559077,0.0,0.18316161769628797,5
2025-01-03,782.4164793913521,823.6912951607073,107061.71275890643,37471.59946561725,37035.55607542878,106625.66936871796,8618.467877091967,436.0433901884704,0.0,0.28215624129075195,5
2025-01-04,757.6004029226017,809.3314623241184,104776.23236306765,36671.681327073675,36277.104838918356,104381.65587491234,8434.486705226946,394.57648815531974,0.0,0.2573401648220015,5
2025-01-05,1028.3594080076487,921.0524726316877,100108.03152473956,35037.81103365884,34239.964173779175,99310.1846648599,8058.6965377415345,797.8468598796705,0.0,0.5280991699070484,5
2025-01-06,571.8801109780277,500.2602381006002,97267.51271861006,34043.629451513516,36250.76574952284,99474.64901661938,7830.034773848109,0.0,2207.136298009331,-0.08478159970313129,6
2025-01-07,649.6304885069583,656.661710681159,97268.18230923158,34043.86380823105,34043.86380823105,97268.18230923158,7830.088675893142,0.0,0.0,-0.029997778942497916,7
2025-01-08,697.0216100283532,679.6282674494562,101931.4825872232,35676.018905528115,35462.900246342804,101718.36392803788,8205.484348271468,213.11865918531026,0.0,0.08347581159703497,12
2025-01-09,771.5457860193673,770.6217223566314,108206.86469073745,37872.402641758104,37579.04727358048,107913.50932255982,8710.652607604365,293.35536817762573,0.0,0.15799998758804906,12
2025-01-10,750.9358668493119,704.018450832765,107997.64357397088,37799.175250889806,37526.409431603366,107724.87775468445,8693.810307704656,272.76581928643765,0.0,0.1373900684179937,12
2025-01-11,771.8481423509842,820.2150309684398,103237.54235616094,36133.139824656326,35852.967318759016,102957.36985026361,8310.622159670955,280.17250589730764,0.0,0.158302343919666,12
2025-01-12,690.9896678163972,733.7682242649894,97894.61497218396,34263.115240264386,34062.77923491581,97694.27896683538,7880.516505260809,200.3360053485723,0.0,0.07744386938507898,12
2025-01-13,609.9141100654513,613.5457984313182,94516.5529144383,33080.793520053405,34171.00580229969,95606.76519668459,7608.5825096122835,169.5360756489739,1259.7483578952538,0.04070145659934963,17
2025-01-14,656.9473282658271,718.9455946490689,96922.44560574583,33922.85596201104,33717.12590894658,96716.71555268137,7802.256871262539,205.73005306445566,0.0,0.08773467479972544,17
2025-01-15,681.1750751391475,706.88808896301,100690.69011032909,35241.74153861518,34968.29537590517,100417.24394761908,8105.600553881491,273.4461627100103,0.0,0.15850095918603097,19
2025-01-16,678.1748200821128,630.9137346235347,105519.57131968948,36931.84996189131,36643.578834546664,105231.30019234485,8494.325491235002,288.2711273446498,0.0,0.16024478744342127,20
2025-01-17,730.2695628887803,750.5508560133178,104817.0850704427,36685.979774654945,36344.89521914827,104476.00051493602,8437.775348170637,341.08455550667935,0.0,0.21233953025008884,20
2025-01-18,621.9511965116966,569.2126534661016,101776.70845630791,35621.84795970777,35768.296171195325,101923.15666779547,8193.025030732786,228.8179172258768,375.26612871342957,0.1040211638730051,20
2025-01-19,615.160197785338,663.474964357238,96677.94290732428,33837.2800175635,33625.06249309623,96465.72538285701,7782.574404039605,212.2175244672662,0.0,0.09723016514664652,20
2025-01-20,525.4200410573604,522.6741159531165,91921.3546155513,32172.474115442954,32299.7970197279,92048.67751983626,7399.66904655188,146.12325842506607,273.4461627100103,0.007490008418668936,20
2025-01-21,528.0974626336808,517.9300326386915,93692.07788079962,32792.22725827987,34008.741641249406,94908.59226376915,7542.21226940437,0.0,1216.5143829695382,-0.00015083967023542754,21
2025-01-22,565.699427246133,528.2483023039163,96828.04757998213,33889.816652993744,33719.17184183873,96657.40276882712,7794.657830188561,170.64481115501275,0.0,0.03582433789898573,25
2025-01-23,701.776858422307,769.0166320493787,101769.01954050938,35619.15683917828,35329.88968521151,101479.75238654262,8192.406073011005,289.26715396677315,0.0,0.17190176907515967,25
2025-01-24,662.1417399696974,653.6426184559133,102905.17726187226,36016.81204165529,35761.47677595935,102649.84199617633,8283.866769580718,255.33526569593812,0.0,0.13226665062255005,25
2025-01-25,610.5141952651712,586.9561650462003,98790.65356926063,34576.728749241214,34372.24800489446,98586.17282491387,7952.64761232548,204.48074434675115,0.0,0.08063910591802391,25
2025-01-26,549.2424346239999,529.8750893471473,95816.00103277626,33535.60036147169,34455.328336636165,96735.72900794074,7713.188083138489,0.0,919.7279751644752,-0.02874401550037862,26
2025-01-27,548.7094449189443,577.9864501243785,91729.2876549723,32105.250679240304,32105.250679240304,91729.2876549723,7384.2076562252705,0.0,0.0,-0.03819410746065228,27
2025-01-28,566.8041288395723,586.9035523795966,93854.54091693387,32849.089320926854,32849.089320926854,93854.54091693387,7555.290543813177,0.0,0.0,-0.09177184518235935,31
2025-01-29,642.1051058792914,664.8053995170708,99560.0543829976,34846.01903404915,34615.714838336804,99329.75018728524,8014.584377831306,230.30419571235183,0.0,0.11214063289983733,33
2025-01-30,717.3046572686922,740.9998124341257,104707.0470789997,36647.4664776499,36333.94266894673,104393.52327029654,8428.917289859477,313.52380870316495,0.0,0.1873401842892381,33
2025-01-31,813.6601370093643,931.4507550572397,106648.02960385829,37326.8103613504,36890.35937618573,106211.5786186936,8585.166383110593,436.4509851646745,0.0,0.2836956640299103,33
2025-02-01,680.9287999230855,658.5759740219316,103004.89908033844,36051.71467811845,35779.10860580649,102732.29300802646,8291.894375967244,272.60607231195746,0.0,0.1509643269436315,33
2025-02-02,883.0718158478546,854.8984657489201,97905.58119853116,34266.9534194859,33772.855918604335,97411.48369764959,7881.399286481757,494.097500881566,0.0,0.35310734286840056,33
2025-02-03,574.7219730330874,529.9644729794541,95524.23380455257,33433.481831593395,35180.46439436711,97271.21636732628,7689.700821266481,0.0,1746.9825627737146,-0.09133432432774612,38
2025-02-04,656.6813478342211,690.5602160758734,95142.07184813567,33299.725146847486,33299.725146847486,95142.07184813567,7658.936783774922,0.0,0.0,-0.009374949526612341,38
2025-02-05,747.1204159359019,809.2138920355509,100428.52854255337,35149.98498989367,34941.79984495094,100220.34339761063,8084.496547675545,208.18514494273052,0.0,0.08106411857506839,38
2025-02-06,765.0520112689564,758.7849010979384,105481.39065072079,36918.48672775227,36685.49871262503,105248.40263559355,8491.251947383023,232.98801512724603,0.0,0.09899571390812298,38
2025-02-07,754.0592876181412,707.8506813852022,107139.17601838984,37498.711606436445,37233.10191416217,106873.56632611557,8624.703669480383,265.6096922742731,0.0,0.13201559467301888,42
2025-02-08,711.4027642238516,666.0562973608335,105569.33624519416,36949.267685817955,37165.0636381451,105785.1321975213,8498.33156773813,225.37720774283443,441.1731600699766,0.08935907127872929,42
2025-02-09,698.3764033612927,734.1590066916513,98687.76398960047,34540.71739636016,34339.55572082519,98486.6023140655,7944.365001162837,201.161675534969,0.0,0.07633271041617036,42
2025-02-10,653.6974581006582,694.5764375168475,95861.70097152289,33551.59534003301,33385.187613635164,95695.29324512504,7716.8669282075925,166.4077263978481,0.0,0.03165376515553589,42
2025-02-11,653.7683416634092,683.6418264201949,98725.9471262286,34554.081494180005,34382.657620066435,98554.52325211503,7947.4387436614015,171.42387411357157,0.0,0.031724648718286855,42
2025-02-12,658.6467268460005,622.0436929451223,101041.94636545745,35364.68122791011,36178.60985851711,101855.87499606445,8133.876682419325,216.051545456487,1029.9801760634962,0.08980358127149964,47
2025-02-13,746.2371701046592,759.0060428733287,106592.84918465819,37307.49721463036,36998.83703259738,106284.18900262521,8580.724359364984,308.6601820329819,0.0,0.1773940245301583,47
2025-02-14,745.1363667892408,751.5540862919809,105249.00548412351,36837.151919443226,36533.514371269346,104945.36793594965,8472.544941471942,303.6375481738772,0.0,0.1762932212147399,47
2025-02-15,1080.235787126741,1092.2636599468367,102356.7773652642,35824.87207784247,35040.09380257305,101571.99908999479,8239.720577903769,784.7782752694164,0.0,0.51139264155224,47
2025-02-16,637.6717505394577,685.600333326608,95736.89187235756,33507.912155325146,33317.92016294909,95546.8998799815,7706.819795724784,189.99199237605427,0.0,0.06882860496495675,47
2025-02-17,556.5453903918934,568.8431455745009,92726.75122813889,32454.36292984861,34072.73489583202,94345.12319412231,7464.50347386518,184.74757732540954,1803.1195433088167,0.06993580787087388,52
2025-02-18,1080.9861311233212,1118.3263770922754,94847.91773940952,33196.77120879333,32324.816894670505,93975.9634252867,7635.257378022467,871.9543141228266,0.0,0.5943765486023017,52
2025-02-19,608.1144732509119,611.831322072801,96069.35342847569,33624.27369996649,33381.242423072465,95826.32215158167,7733.582950992293,243.03127689402604,0.0,0.13785749936098263,54
2025-02-20,672.1497703179754,688.0513372459245,103047.23375760211,36066.531815160735,35742.61015675068,102723.31209919206,8295.302317486969,323.92165841005976,0.0,0.20189279642804603,54
2025-02-21,696.1823710303782,730.903223451498,103757.20890515178,36315.023116803124,35961.98173468958,103404.16752303825,8352.455316864718,353.0413821135476,0.0,0.22592539714044893,54
2025-02-22,566.7531526130812,486.60958252101955,99404.01774944847,34791.40621230696,35630.470950735566,100243.08248787708,8002.023428830601,217.63715301963597,1056.7018914482362,0.09649617872315185,54
2025-02-23,542.831138494207,525.2492215945555,93175.12340160782,32611.293190562737,32423.895778394588,92987.72598943967,7500.59743382943,187.3974121681511,0.0,0.07257416460427771,54
2025-02-24,496.1274698760331,470.2569738899293,91859.34664542782,32150.771325899736,33322.21161755264,93030.78693708073,7394.677404956939,153.58859095251378,1325.0288826054204,0.021328908283659416,55
2025-02-25,509.9368432457575,474.7985615923737,92508.55634485415,32377.99472069895,32531.583311651462,92662.14493580666,7446.938785760759,0.0,153.58859095251378,-0.06933595335906387,56
2025-02-26,594.405620422289,579.2727966048213,98421.34938993215,34447.47228647625,34447.47228647625,98421.34938993215,7922.918625889538,0.0,0.0,-0.02693045797685079,58
2025-02-27,737.0770559092697,819.2988280271614,103247.74833870512,36136.71191854679,35894.8492732524,103005.88569341073,8311.443741265763,241.86264529438608,0.0,0.11574097751012993,58
2025-02-28,668.9567897622682,621.3360783991398,106754.86053498654,37364.201187245286,37606.06383253967,106996.72318028093,8593.766273066416,0.0,241.86264529438608,-0.09526565160426173,59
2025-03-01,710.9671318639985,764.2224413665299,101796.29645469332,35628.70375914266,35628.70375914266,101796.29645469332,8194.601864602813,0.0,0.0,0.0,-1
